economtric,econometric : 24256, , ,A,iconometric : 0, ,A, ,A,econometrics : 16803
embaras,embarras : 0, , ,A,embarrass : 34135,embers : 11157,A,embarks : 0,A,embark : 1666
colate,collate : 8839,colat : 0, ,A,colt : 10411,colet : 4975,A,folate : 282,A,coated : 110897
orentated,orientated : 42970, , ,A, , ,A, ,A,orientate : 3979
unequivocaly,unequivocally : 89050,unequivocal : 2885, ,A, , ,A,unequivocably : 0,A
generataed,generated : 28407, , ,A, , ,A, ,A,generate : 30912
guidlines,guidelines : 318953, , ,A,guideline's : 0, ,A, ,A,guideline : 20227
reciet,recit : 539, , ,A,recite : 19399,reset : 3036,A, ,A,recent : 994271
adres,adores : 1556, , ,A,address : 1341388,atreus : 5024,A,acres : 12609,A,areas : 4394573
rember, , , ,A,ramper : 0, ,A,member : 126444,A,remember : 1445953
juse,jus : 11976,juise : 0, ,A,juice : 988908,jesse : 13110,A,just : 480959,A,july : 1213505
accesing,accessing : 50910, , ,A, , ,A,accusing : 35115,A,accosting : 0
thay,they : 47340170,thai : 29957,thy : 28259,A,thou : 322312,thee : 307811,A,that : 1210404,A,this : 40227825
cleark,clark : 287299,clerk : 117503, ,A,clarke : 266135, ,A,clears : 111,A,clearly : 524821
wer,were : 81902805,war : 8770870,wear : 1731634,A,where : 38606883,year : 11973377,A,we : 7486118,A,when : 60682569
bonas,bones : 454397,bonus : 64040,bons : 186,A,benes : 5928,bonsai : 5486,A,bonds : 27413,A,ones : 661447
plesent, , , ,A,pleasant : 1109541,placent : 0,A,present : 294407,A,precent : 0
wonted,wanted : 1321340, , ,A,wounded : 571247,winded : 2952,A,wonned : 0,A,pointed : 1036974
planed,planned : 521324,planet : 40924,plained : 13570,A,plant : 417419,poland : 144530,A,planted : 140636,A,land : 776838
forth,fourth : 2517695,firth : 4494,forts : 1190,A,frith : 14577,froth : 11621,A,fort : 55465,A,earth : 749459
et,it : 195167159,at : 89238246,eat : 2590272,A, , ,A,est : 612773,A
where,were : 20156756,whore : 19534,owhere : 0,A,wire : 603164,wore : 184104,A,there : 49129,A,while : 8968835
latter,letter : 2648492,later : 564232,litter : 84141,A,ladder : 48062,lottery : 44434,A,matter : 110631,A,better : 2505108
advice,advise : 76700, , ,A,advisee : 0, ,A,advices : 10714,A,advised : 334888
hown,hon : 20932,hewn : 6610,hoon : 21,A,hone : 21526,hain : 1498,A,how : 527699,A,hour : 276488
ther,their : 88064183,there : 58571386,thar : 18463,A,three : 3188926,theory : 2915377,A,the : 193211569,A,that : 106155993
quies,quis : 2544,ques : 2326, ,A,quiz : 161625,queues : 28957,A,quiet : 66421,A,quite : 1634635
natior,nation : 90704, , ,A,nadir : 3976,natter : 444,A, ,A,native : 19022
thear,their : 44624249,theor : 5400,thar : 4549,A,there : 34482846,theory : 2923834,A,shear : 16740,A,that : 27339464
carrers,carriers : 421137,carers : 4478,careers : 4416,A,career's : 0, ,A,carvers : 213,A,carries : 346620
aranging,arranging : 108689, , ,A, , ,A,ranging : 0,A,bringing : 332752
sumarys, , , ,A,simars : 0, ,A, ,A,summary : 367122
aurgument,argument : 94360, , ,A,argumenta : 0, ,A, ,A,arguments : 469608
humor,humour : 340732, , ,A,homer : 39605,humeri : 2322,A,humors : 7910,A,human : 1849389
oranisation, , , ,A, , ,A,organisation : 117630,A,organization : 11553518
oranised, , , ,A, , ,A,organised : 45910,A,organized : 4479546
eligble, , , ,A, , ,A,eligible : 86413,A,ligable : 0
elegable, , , ,A, , ,A,delegable : 0,A,eligible : 236575
eligable, , , ,A, , ,A,eligible : 179195,A,likable : 964
electrisity,electricity : 567011, , ,A, , ,A, ,A
electricty*2, , , ,A, , ,A, ,A
electrizity,electricity : 7402, , ,A, , ,A, ,A
schold,scold : 2924,chold : 0, ,A,should : 18905500,child : 393712,A,schola : 37,A,cold : 157860
skold,scold : 3369,skald : 0, ,A,scald : 2391,skoaled : 0,A,sold : 2122,A,solid : 374831
adabtable,adaptable : 6750, , ,A,adoptable : 0, ,A, ,A,abatable : 0
canned,conned : 2628,caned : 481,cannet : 0,A,gained : 144090,coined : 18599,A,tanned : 2441,A,called : 341133
cained,gained : 278688,coined : 36367,caned : 620,A,conned : 1329,cand : 1016,A,chained : 101906,A,caused : 481394
imature,immature : 172639, , ,A, , ,A,mature : 0,A,impure : 6334
shoudln, , , ,A, , ,A, ,A,shodden : 0
